Rank,Song,Artist,Year
500,Stronger,Kanye West,2007
499,Baby Love,The Supremes,1964
498,Pancho and Lefty,Townes Van Zandt,1972
497,Truth Hurts,Lizzo,2017
496,Without You,Nilsson,1971
495,You’re So Vain,Carly Simon,1972
494,Time After Time,Cyndi Lauper,1983
493,Where Is My Mind,The Pixies,1988
492,So What,Miles Davis,1959
491,Welcome to the Jungle,Guns ‘n’ Roses,1987
490,Old Town Road,Lil Nas X,2019
489,Cannonball,The Breeders,1993
488,House of Balloons,The Weeknd,2011
487,Cranes in the Sky,Solange,2016
486,A Milli,Lil Wayne,2009
485,212,Azealia Banks,2011
484,Buddy Holly,Weezer,1994
483,I Can’t Help Myself,Four Tops,1965
482,Bad Romance,Lady Gaga,2009
481,Cross Road Blues,Robert Johnson,1937
480,Just a Friend,Biz Markie,1989
479,Oye Como Va,Santana,1970
478,Back That Azz Up,Juvenile,1998
477,Our Lips Are Sealed,The Go-Gos,1981
476,Sunday Morning Coming Down,Kris Kristofferson,1970
475,Rhythm Nation,Janet Jackson,1989
474,Move On Up,Curtis Mayfield,1970
473,Stand By Your Man,Tammy Wynette,1968
472,Solsbury Hill,Peter Gabriel,1977
471,The House of the Rising Sun,The Animals,1964
470,Midnight Train to Georgia,Gladys Knight and the Pips,1973
469,Goodbye Earl,Dixie Chicks,"""2000"""
468,Fade Into You,Mazzy Star,1993
467,Come As You Are,Nirvana,1991
466,Never Too Much,Luther Vandross,1981
465,Get Lucky,Daft Punk,2013
464,Help Me,Joni Mitchell,1974
463,Boom Boom,John Lee Hooker,1962
462,Into the Mystic,Van Morrison,1970
461,Crying,Roy Orbison,1962
460,Ku Klux Klan,Steel Pulse,1978
459,No Ordinary Love,Sade,1992
458,Loser,Beck,1993
457,Livin’ on a Prayer,Bon Jovi,1986
456,Summertime Sadness,Lana Del Rey,2012
455,White Rabbit,Jefferson Airplane,1967
454,Bam Bam,Sister Nancy,1982
453,The Rain,Missy Elliot,1997
452,Africa,Toto,1982
451,Bad and Boujee,Migos,2016
450,Powderfinger,Neil Young,1979
449,Don’t Fear the Reaper,Blue Oyster Cult,1976
448,Tyrone,Erykah Badu,1997
447,Help!,The Beatles,1965
446,Rosalita,Bruce Springsteen,1973
445,Cosmic Dancer,T. Rex,"""1971"""
444,In Da Club,50 Cent,2003
443,"Sugar, We’re Going Down",Fall Out Boy,2005
442,Ace of Spades,Motorhead,1980
441,The House That Built Me,Miranda Lambert,2010
440,If I Ain’t Got You,Alicia Keys,2003
439,La Vida Es un Carnaval,Celia Cruz,1998
438,Savage (Remix),Megan Thee Stallion feat. Beyonce,2020
437,Passionate Kisses,Lucinda Williams,1988
436,Call Me Maybe,Carly Rae Jepsen,2012
435,Limelight,Rush,1981
434,Sheena Is a Punk Rocker,Ramones,1977
433,West End Girls,Pet Shop Boys,1984
432,Summertime Blues,Eddie Cochran,1958
431,Adore,Prince,1987
430,They Reminiscence Over You,Peter Rock and CL Smooth,1992
429,Under Pressure,Queen and David Bowie,1981
428,Sign of the Times,Harry Styles,2017
427,Rapper’s Delight,Sugarhill Gang,1979
426,Super Bass,Nicki Minaj,2010
425,Mannish Boy,Muddy Waters,1955
424,No Diggity,Blackstreet,1996
423,Criminal,Fiona Apple,1996
422,Flava in Your Ear,Craig Mack,1994
421,How Soon Is Now,The Smiths,1984
420,California Dreamin’,Mamas and the Papas,1965
419,Fantasy,Mariah Carey,1995
418,Green Onions,Booker T,1962
417,Uptown Funk,Mark Ronson,2015
416,Alive,Pearl Jam,1991
415,Enjoy the Silence,Depeche Mode,1990
414,Dreaming,Blondie,1979
413,Gloria,Them,1965
412,Buffalo Stance,Neneh Cherry,1988
411,Heavy Metal Drummer,Wilco,2002
410,Whipping Post,Allman Brother’s Band,1969
409,Everlong,Foo Fighters,1997
408,Father and Son,Cat Stevens,1970
407,Free Bird,Skynyrd,1973
406,Sucker MC’s,Run-DMC,1984
405,Amor Prohibido,Selena,1994
404,Rock and Roll All Nite,Kiss,1974
403,Ain’t Nobody,Rufus and Chaka Khan,1983
402,Lovely Day,Bill Withers,1977
401,Go Your Own Way,Fleetwood Mac,1977
400,Station to Station,David Bowie,1976
399,You Make Me Feel (Mighty Real),Sylvester,1978
398,Hungry Like the Wolf,Duran Duran,1982
397,Bring the Noise,Public Enemy,1987
396,Alison,Elvis Costello,1977
395,Planet Rock,Afrika Bambaataa,1982
394,Grace,Jeff Buckley,1994
393,Say It Loud,James Brown,1968
392,Fix You,Coldplay,2005
391,Springsteen,Eric Church,2011
390,Enter Sandman,Metallica,1991
389,Brass in Pocket,Pretenders,1879
388,Party Up (Up in Here),DMX,1999
387,Personality Crisis,The New York Dolls,1973
386,Lola,The Kinks,1970
385,I’m Coming Out,Diana Ross,1980
384,I Like It,Cardi B,2018
383,Redbone,Childish Gambino,2016
382,Paper Bag,Fiona Apple,1999
381,Typical Girls,The Slits,1979
380,Radiation Vibe,Fountains of Wayne,1996
379,Untitled (How Does It Feel),D’Angelo,2000
378,Mr. Brightside,The Killers,2003
377,Pictures of You,The Cure,1989
376,Mama Tried,Merle Haggard,1968
375,Up On the Roof,Drifters,1964
374,Be Thankful for What You Got,William DeVaughn,1974
373,Hotline Bling,Drake,2015
372,I Can’t Make You Love Me,Bonnie Raitt,1991
371,Bennie and the Jets,Elton John,1973
370,Peggy Sue,Buddy Holly,1958
369,Just What I Needed,The Cars,1978
368,Black Hole Sun,Soundgarden,1994
367,Thinkin’ About You,Frank Ocean,2012
366,Da Doo Run Run,The Crystals,1962
365,God Save the Queen,The Sex Pistols,1977
364,Box of Rain,Grateful Dead,1970
363,Could You Be Loved,Bob Marley,1980
362,Merry Go Round,Kacey Musgraves,2013
361,The Harder They Come,Jimmy Cliff,1972
360,Little Red Corvette,Prince,1982
359,Killing Me Softly with His Song,The Fugees,1996
358,Because the Night,Patti Smith,1978
357,Blank Space,Taylor Swift,2014
356,Surrender,Cheap Trick,1978
355,Don’t Leave Me This Way,Thelma Houston,1976
354,Rock With You,Michael Jackson,1979
353,Sweet Dreams (Are Made of This),The Eurythmics,1983
352,It Was a Good Day,Ice Cube,1992
351,Ponta De Lanca Africano (Umbabarauma),Jorge Ben,1976
350,Angel in Montgomery,John Prine,1971
349,Time of the Season,Zombies,1968
348,Virginia Plain,Roxy Music,1972
347,Heartbreak Hotel,Elvis,1956
346,Dynamite,BTS,2020
345,It’s Too Late,Carole King,1971
344,Iron Man,Black Sabbath,1971
343,What a Fool Believes,The Doobie Brothers,1979
342,Promised Land,Chuck Berry,1964
341,I’m a Believer,Monkees,1966
340,(White Man) in Hammersmith Palais,The Clash,1978
339,1999,Prince,1982
338,Paranoid,Black Sabbath,1970
337,Believe,Cher,1998
336,She’s Gone,Hall and Oates,1973
335,Move Your Body (The House Music Anthem),Marshall Jefferson,1986
334,Ripple,Grateful Dead,1970
333,Papa Was a Rollin’ Stone,The Temptations,1972
332,Umbrella,Rihanna,2007
331,Please Mr. Postman,The Marvelettes,1961
330,Big Poppa,The Notorious B.I.G.,1994
329,Safaera,Bad Bunny,2020
328,Under the Bridge,Red Hot Chili Peppers,1991
327,Real Love,Mary J. Blige,1992
326,Portions for Foxes,Rilo Kiley,2004
325,Lust for Life,Iggy Pop,1977
324,Scenes from an Italian Restaurant,Billy Joel,1977
323,All I Have to Do Is Dream,Everly Brothers,1958
322,After the Gold Rush,Neil Young,1970
321,I Still Haven’t Found,U2,1987
320,California Love,2Pac,1995
319,Everybody Wants to Rule the World,Tears for Fears,1985
318,Hound Dog,Big Mama Thornton,1953
317,Visions of Johanna,Bob Dylan,1966
316,Leader of the Pack,Shangri-Las,1964
315,Part 1 – Acknowledgement,John Coltrane,1965
314,I Wanna Be Your Dog,The Stooges,1969
313,The Tears of a Clown,Smokey Robinson and the Miracles,1967
312,Walk on By,Isaac Hayes,1969
311,Hotel California,Eagles,1977
310,Light My Fire,The Doors,1967
309,Ain’t No Sunshine,Bill Withers,1971
308,Divorce Song,Liz Phair,1993
307,Crazy,Gnarls Barkley,2006
306,Chain of Fools,Aretha Franklin,1967
305,Every Breath You Take,The Police,1983
304,Trans-Europe Express,Kraftwerk,1977
303,No Scrubs,TLC,1999
302,Wish You Were Here,Pink Floyd,1975
301,Night Moves,Bob Seger,1978
300,Rock Lobster,B-52s,1978
299,I Put a Spell on You,Jay Hawkins,1956
298,Jungleland,Bruce Springsteen,1975
297,Wouldn’t It Be Nice,Beach Boys,1966
296,Rebel Girl,Bikini Kill,1996
295,Won’t Get Fooled Again,The Who,1971
